diag,dist,expanded,h,heuristic,note,p,path_len_nodes,phase,relaxed,run_id,seed,time_s,visited,w
False,238.0,9708,120,euclidean,boxed_repair,0.25,239,repair_after_add,9853,4,5,0.372058900014963,9854,120
False,238.0,2492,120,manhattan,,0.25,239,first_astar,3289,0,6,0.12926070002140477,3049,120
False,238.0,1442,120,manhattan,,0.25,239,rerun_after_add,1979,0,6,0.0754066999652423,1833,120
False,238.0,1442,120,manhattan,boxed_repair,0.25,239,repair_after_add,1979,0,6,0.06677459995262325,1833,120
False,238.0,9511,120,euclidean,,0.25,239,first_astar,9651,0,6,0.3502060999744572,9652,120
False,238.0,9506,120,euclidean,,0.25,239,rerun_after_add,9646,0,6,0.3144532999722287,9646,120
False,238.0,9506,120,euclidean,boxed_repair,0.25,239,repair_after_add,9646,0,6,0.21932470001047477,9646,120
False,238.0,2492,120,manhattan,,0.25,239,first_astar,3289,1,6,0.043594099988695234,3049,120
False,238.0,1442,120,manhattan,,0.25,239,rerun_after_add,1979,1,6,0.02154980000341311,1833,120
False,238.0,1442,120,manhattan,boxed_repair,0.25,239,repair_after_add,1979,1,6,0.024829600006341934,1833,120
False,238.0,9511,120,euclidean,,0.25,239,first_astar,9651,1,6,0.310437899956014,9652,120
False,238.0,9506,120,euclidean,,0.25,239,rerun_after_add,9646,1,6,0.19879599998239428,9646,120
False,238.0,9506,120,euclidean,boxed_repair,0.25,239,repair_after_add,9646,1,6,0.17755730001954362,9646,120
False,238.0,2492,120,manhattan,,0.25,239,first_astar,3289,2,6,0.03036860004067421,3049,120
False,238.0,1442,120,manhattan,,0.25,239,rerun_after_add,1979,2,6,0.01880160003202036,1833,120
False,238.0,1442,120,manhattan,boxed_repair,0.25,239,repair_after_add,1979,2,6,0.022645800025202334,1833,120
False,238.0,9511,120,euclidean,,0.25,239,first_astar,9651,2,6,0.16506060003302991,9652,120
False,238.0,9506,120,euclidean,,0.25,239,rerun_after_add,9646,2,6,0.1623455000226386,9646,120
False,238.0,9506,120,euclidean,boxed_repair,0.25,239,repair_after_add,9646,2,6,0.1857832000241615,9646,120
False,238.0,2492,120,manhattan,,0.25,239,first_astar,3289,3,6,0.05118779995245859,3049,120
False,238.0,1442,120,manhattan,,0.25,239,rerun_after_add,1979,3,6,0.02514419995713979,1833,120
False,238.0,1442,120,manhattan,boxed_repair,0.25,239,repair_after_add,1979,3,6,0.03230690001510084,1833,120
False,238.0,9511,120,euclidean,,0.25,239,first_astar,9651,3,6,0.22001360001740977,9652,120
False,238.0,9506,120,euclidean,,0.25,239,rerun_after_add,9646,3,6,0.1648451000219211,9646,120
False,238.0,9506,120,euclidean,boxed_repair,0.25,239,repair_after_add,9646,3,6,0.13543249998474494,9646,120
False,238.0,2492,120,manhattan,,0.25,239,first_astar,3289,4,6,0.034385800012387335,3049,120
False,238.0,1442,120,manhattan,,0.25,239,rerun_after_add,1979,4,6,0.018188200017903,1833,120
False,238.0,1442,120,manhattan,boxed_repair,0.25,239,repair_after_add,1979,4,6,0.017870100040454417,1833,120
False,238.0,9511,120,euclidean,,0.25,239,first_astar,9651,4,6,0.11460440000519156,9652,120
False,238.0,9506,120,euclidean,,0.25,239,rerun_after_add,9646,4,6,0.1244911000248976,9646,120
False,238.0,9506,120,euclidean,boxed_repair,0.25,239,repair_after_add,9646,4,6,0.18202259996905923,9646,120
False,inf,7,120,manhattan,,0.25,0,first_astar,6,0,7,0.00018500001169741154,7,120
False,inf,7,120,manhattan,,0.25,0,rerun_after_add,6,0,7,8.909997995942831e-05,7,120
False,inf,7,120,manhattan,,0.25,0,repair_after_add,6,0,7,8.299999171867967e-05,7,120
False,inf,7,120,euclidean,,0.25,0,first_astar,6,0,7,9.250000584870577e-05,7,120
False,inf,7,120,euclidean,,0.25,0,rerun_after_add,6,0,7,8.679996244609356e-05,7,120
False,inf,7,120,euclidean,,0.25,0,repair_after_add,6,0,7,4.700000863522291e-05,7,120
False,inf,7,120,manhattan,,0.25,0,first_astar,6,1,7,0.00017899996601045132,7,120
False,inf,7,120,manhattan,,0.25,0,rerun_after_add,6,1,7,9.14999982342124e-05,7,120
False,inf,7,120,manhattan,,0.25,0,repair_after_add,6,1,7,8.690002141520381e-05,7,120
False,inf,7,120,euclidean,,0.25,0,first_astar,6,1,7,9.339995449408889e-05,7,120
False,inf,7,120,euclidean,,0.25,0,rerun_after_add,6,1,7,8.840003283694386e-05,7,120
False,inf,7,120,euclidean,,0.25,0,repair_after_add,6,1,7,0.00016310001956298947,7,120
False,inf,7,120,manhattan,,0.25,0,first_astar,6,2,7,0.0001370999962091446,7,120
False,inf,7,120,manhattan,,0.25,0,rerun_after_add,6,2,7,9.029998909682035e-05,7,120
False,inf,7,120,manhattan,,0.25,0,repair_after_add,6,2,7,0.0002937000244855881,7,120
False,inf,7,120,euclidean,,0.25,0,first_astar,6,2,7,0.0010594999766908586,7,120
False,inf,7,120,euclidean,,0.25,0,rerun_after_add,6,2,7,0.00021729996660724282,7,120
False,inf,7,120,euclidean,,0.25,0,repair_after_add,6,2,7,8.659996092319489e-05,7,120
False,inf,7,120,manhattan,,0.25,0,first_astar,6,3,7,0.0001281000440940261,7,120
False,inf,7,120,manhattan,,0.25,0,rerun_after_add,6,3,7,7.720000576227903e-05,7,120
False,inf,7,120,manhattan,,0.25,0,repair_after_add,6,3,7,4.930002614855766e-05,7,120
False,inf,7,120,euclidean,,0.25,0,first_astar,6,3,7,5.229999078437686e-05,7,120
False,inf,7,120,euclidean,,0.25,0,rerun_after_add,6,3,7,4.770001396536827e-05,7,120
False,inf,7,120,euclidean,,0.25,0,repair_after_add,6,3,7,8.920003892853856e-05,7,120
False,inf,7,120,manhattan,,0.25,0,first_astar,6,4,7,0.00012199999764561653,7,120
False,inf,7,120,manhattan,,0.25,0,rerun_after_add,6,4,7,8.339999476447701e-05,7,120
False,inf,7,120,manhattan,,0.25,0,repair_after_add,6,4,7,8.499994874000549e-05,7,120
False,inf,7,120,euclidean,,0.25,0,first_astar,6,4,7,5.390000296756625e-05,7,120
False,inf,7,120,euclidean,,0.25,0,rerun_after_add,6,4,7,4.680000711232424e-05,7,120
False,inf,7,120,euclidean,,0.25,0,repair_after_add,6,4,7,9.669997962191701e-05,7,120
False,238.0,1876,120,manhattan,,0.25,239,first_astar,2510,0,8,0.025711100024636835,2329,120
False,238.0,2391,120,manhattan,,0.25,239,rerun_after_add,3176,0,8,0.033619599998928607,2989,120
False,238.0,2391,120,manhattan,boxed_repair,0.25,239,repair_after_add,3176,0,8,0.05581230000825599,2989,120
False,238.0,9392,120,euclidean,,0.25,239,first_astar,9537,0,8,0.12661819998174906,9537,120
False,238.0,9405,120,euclidean,,0.25,239,rerun_after_add,9540,0,8,0.13898469996638596,9541,120
False,238.0,9405,120,euclidean,boxed_repair,0.25,239,repair_after_add,9540,0,8,0.15075559995602816,9541,120
False,238.0,1876,120,manhattan,,0.25,239,first_astar,2510,1,8,0.03156259999377653,2329,120
False,238.0,2391,120,manhattan,,0.25,239,rerun_after_add,3176,1,8,0.035379800014197826,2989,120
False,238.0,2391,120,manhattan,boxed_repair,0.25,239,repair_after_add,3176,1,8,0.037369700032286346,2989,120
False,238.0,9392,120,euclidean,,0.25,239,first_astar,9537,1,8,0.13573159999214113,9537,120
False,238.0,9405,120,euclidean,,0.25,239,rerun_after_add,9540,1,8,0.13358720001997426,9541,120
False,238.0,9405,120,euclidean,boxed_repair,0.25,239,repair_after_add,9540,1,8,0.13558800000464544,9541,120
False,238.0,1876,120,manhattan,,0.25,239,first_astar,2510,2,8,0.02338730002520606,2329,120
False,238.0,2391,120,manhattan,,0.25,239,rerun_after_add,3176,2,8,0.02970780001487583,2989,120
False,238.0,2391,120,manhattan,boxed_repair,0.25,239,repair_after_add,3176,2,8,0.036257800005842,2989,120
False,238.0,9392,120,euclidean,,0.25,239,first_astar,9537,2,8,0.1404672999633476,9537,120
False,238.0,9405,120,euclidean,,0.25,239,rerun_after_add,9540,2,8,0.14979470003163442,9541,120
False,238.0,9405,120,euclidean,boxed_repair,0.25,239,repair_after_add,9540,2,8,0.18072539998684078,9541,120
False,238.0,1876,120,manhattan,,0.25,239,first_astar,2510,3,8,0.023999999975785613,2329,120
False,238.0,2391,120,manhattan,,0.25,239,rerun_after_add,3176,3,8,0.034427600039634854,2989,120
False,238.0,2391,120,manhattan,boxed_repair,0.25,239,repair_after_add,3176,3,8,0.031462699989788234,2989,120
False,238.0,9392,120,euclidean,,0.25,239,first_astar,9537,3,8,0.11538940004538745,9537,120
False,238.0,9405,120,euclidean,,0.25,239,rerun_after_add,9540,3,8,0.12281859997892752,9541,120
False,238.0,9405,120,euclidean,boxed_repair,0.25,239,repair_after_add,9540,3,8,0.13959239999530837,9541,120
False,238.0,1876,120,manhattan,,0.25,239,first_astar,2510,4,8,0.026226999994833022,2329,120
False,238.0,2391,120,manhattan,,0.25,239,rerun_after_add,3176,4,8,0.028312399983406067,2989,120
False,238.0,2391,120,manhattan,boxed_repair,0.25,239,repair_after_add,3176,4,8,0.03230909997364506,2989,120
False,238.0,9392,120,euclidean,,0.25,239,first_astar,9537,4,8,0.12324629997601733,9537,120
False,238.0,9405,120,euclidean,,0.25,239,rerun_after_add,9540,4,8,0.11590430000796914,9541,120
False,238.0,9405,120,euclidean,boxed_repair,0.25,239,repair_after_add,9540,4,8,0.13221859995974228,9541,120
False,238.0,2793,120,manhattan,,0.25,239,first_astar,3706,0,9,0.03018010000232607,3415,120
False,238.0,2092,120,manhattan,,0.25,239,rerun_after_add,2794,0,9,0.023946700035594404,2582,120
False,238.0,2092,120,manhattan,boxed_repair,0.25,239,repair_after_add,2794,0,9,0.02334120002342388,2582,120
False,238.0,9416,120,euclidean,,0.25,239,first_astar,9583,0,9,0.1262531000538729,9584,120
False,238.0,9441,120,euclidean,,0.25,239,rerun_after_add,9591,0,9,0.1328304999624379,9591,120
False,238.0,9441,120,euclidean,boxed_repair,0.25,239,repair_after_add,9591,0,9,0.1516321999952197,9591,120
False,238.0,2793,120,manhattan,,0.25,239,first_astar,3706,1,9,0.03515499999048188,3415,120
False,238.0,2092,120,manhattan,,0.25,239,rerun_after_add,2794,1,9,0.026936599984765053,2582,120
False,238.0,2092,120,manhattan,boxed_repair,0.25,239,repair_after_add,2794,1,9,0.029926599992904812,2582,120
False,238.0,9416,120,euclidean,,0.25,239,first_astar,9583,1,9,0.13485199998831376,9584,120
False,238.0,9441,120,euclidean,,0.25,239,rerun_after_add,9591,1,9,0.1387024000287056,9591,120
False,238.0,9441,120,euclidean,boxed_repair,0.25,239,repair_after_add,9591,1,9,0.13433179998537526,9591,120
False,238.0,2793,120,manhattan,,0.25,239,first_astar,3706,2,9,0.03228699997998774,3415,120
False,238.0,2092,120,manhattan,,0.25,239,rerun_after_add,2794,2,9,0.024983400013297796,2582,120
False,238.0,2092,120,manhattan,boxed_repair,0.25,239,repair_after_add,2794,2,9,0.02998749999096617,2582,120
False,238.0,9416,120,euclidean,,0.25,239,first_astar,9583,2,9,0.11151580000296235,9584,120
False,238.0,9441,120,euclidean,,0.25,239,rerun_after_add,9591,2,9,0.10912820004159585,9591,120
False,238.0,9441,120,euclidean,boxed_repair,0.25,239,repair_after_add,9591,2,9,0.12923929997486994,9591,120
False,238.0,2793,120,manhattan,,0.25,239,first_astar,3706,3,9,0.03145930002210662,3415,120
False,238.0,2092,120,manhattan,,0.25,239,rerun_after_add,2794,3,9,0.021616099984385073,2582,120
False,238.0,2092,120,manhattan,boxed_repair,0.25,239,repair_after_add,2794,3,9,0.037489800015464425,2582,120
False,238.0,9416,120,euclidean,,0.25,239,first_astar,9583,3,9,0.15073100000154227,9584,120
False,238.0,9441,120,euclidean,,0.25,239,rerun_after_add,9591,3,9,0.1651191000128165,9591,120
False,238.0,9441,120,euclidean,boxed_repair,0.25,239,repair_after_add,9591,3,9,0.2449044999666512,9591,120
False,238.0,2793,120,manhattan,,0.25,239,first_astar,3706,4,9,0.09837560000596568,3415,120
False,238.0,2092,120,manhattan,,0.25,239,rerun_after_add,2794,4,9,0.06697179999900982,2582,120
False,238.0,2092,120,manhattan,boxed_repair,0.25,239,repair_after_add,2794,4,9,0.06971079995855689,2582,120
False,238.0,9416,120,euclidean,,0.25,239,first_astar,9583,4,9,0.2461384999915026,9584,120
False,238.0,9441,120,euclidean,,0.25,239,rerun_after_add,9591,4,9,0.13210940000135452,9591,120
False,238.0,9441,120,euclidean,boxed_repair,0.25,239,repair_after_add,9591,4,9,0.136404599994421,9591,120
False,238.0,1338,120,manhattan,,0.25,239,first_astar,1772,0,10,0.018864399986341596,1688,120
False,238.0,2358,120,manhattan,,0.25,239,rerun_after_add,3108,0,10,0.026668399979826063,2899,120
False,238.0,2358,120,manhattan,boxed_repair,0.25,239,repair_after_add,3108,0,10,0.03037749999202788,2899,120
False,238.0,9822,120,euclidean,,0.25,239,first_astar,9969,0,10,0.1221217000274919,9970,120
False,238.0,9796,120,euclidean,,0.25,239,rerun_after_add,9960,0,10,0.11687450000317767,9961,120
False,238.0,9796,120,euclidean,boxed_repair,0.25,239,repair_after_add,9960,0,10,0.12568640004610643,9961,120
False,238.0,1338,120,manhattan,,0.25,239,first_astar,1772,1,10,0.014832800021395087,1688,120
False,238.0,2358,120,manhattan,,0.25,239,rerun_after_add,3108,1,10,0.026584500039462,2899,120
False,238.0,2358,120,manhattan,boxed_repair,0.25,239,repair_after_add,3108,1,10,0.031120500003453344,2899,120
False,238.0,9822,120,euclidean,,0.25,239,first_astar,9969,1,10,0.14282820001244545,9970,120
False,238.0,9796,120,euclidean,,0.25,239,rerun_after_add,9960,1,10,0.17557050002506003,9961,120
False,238.0,9796,120,euclidean,boxed_repair,0.25,239,repair_after_add,9960,1,10,0.21690309996483847,9961,120
False,238.0,1338,120,manhattan,,0.25,239,first_astar,1772,2,10,0.021448699990287423,1688,120
False,238.0,2358,120,manhattan,,0.25,239,rerun_after_add,3108,2,10,0.056325099954847246,2899,120
False,238.0,2358,120,manhattan,boxed_repair,0.25,239,repair_after_add,3108,2,10,0.06053509999765083,2899,120
False,238.0,9822,120,euclidean,,0.25,239,first_astar,9969,2,10,0.16985479998402297,9970,120
False,238.0,9796,120,euclidean,,0.25,239,rerun_after_add,9960,2,10,0.1426550999749452,9961,120
False,238.0,9796,120,euclidean,boxed_repair,0.25,239,repair_after_add,9960,2,10,0.13997129997005686,9961,120
False,238.0,1338,120,manhattan,,0.25,239,first_astar,1772,3,10,0.018756399978883564,1688,120
False,238.0,2358,120,manhattan,,0.25,239,rerun_after_add,3108,3,10,0.02826579997781664,2899,120
False,238.0,2358,120,manhattan,boxed_repair,0.25,239,repair_after_add,3108,3,10,0.028376700007356703,2899,120
False,238.0,9822,120,euclidean,,0.25,239,first_astar,9969,3,10,0.11689710000064224,9970,120
False,238.0,9796,120,euclidean,,0.25,239,rerun_after_add,9960,3,10,0.115040400007274,9961,120
False,238.0,9796,120,euclidean,boxed_repair,0.25,239,repair_after_add,9960,3,10,0.12044319999404252,9961,120
False,238.0,1338,120,manhattan,,0.25,239,first_astar,1772,4,10,0.015128500002902001,1688,120
False,238.0,2358,120,manhattan,,0.25,239,rerun_after_add,3108,4,10,0.02596090000588447,2899,120
False,238.0,2358,120,manhattan,boxed_repair,0.25,239,repair_after_add,3108,4,10,0.028122799994889647,2899,120
False,238.0,9822,120,euclidean,,0.25,239,first_astar,9969,4,10,0.10883179999655113,9970,120
False,238.0,9796,120,euclidean,,0.25,239,rerun_after_add,9960,4,10,0.13799509999807924,9961,120
False,238.0,9796,120,euclidean,boxed_repair,0.25,239,repair_after_add,9960,4,10,0.16805720003321767,9961,120
