algo,dist_m,expanded,graph,pair_id,path_len_nodes,reachable,relaxed,run_id,time_s,visited
dijkstra,2943.1367347936803,552,new_brunswick_new_jersey_usa_drive.graphml,0,27,True,702,0,0.005780000006780028,583
astar,2943.1367347936803,198,new_brunswick_new_jersey_usa_drive.graphml,0,27,True,280,0,0.002628499991260469,234
dijkstra,2943.1367347936803,552,new_brunswick_new_jersey_usa_drive.graphml,0,27,True,702,1,0.004582199966534972,583
astar,2943.1367347936803,198,new_brunswick_new_jersey_usa_drive.graphml,0,27,True,280,1,0.0026416999753564596,234
dijkstra,2943.1367347936803,552,new_brunswick_new_jersey_usa_drive.graphml,0,27,True,702,2,0.004781199968419969,583
astar,2943.1367347936803,198,new_brunswick_new_jersey_usa_drive.graphml,0,27,True,280,2,0.002086699940264225,234
dijkstra,2462.94548704901,214,new_brunswick_new_jersey_usa_drive.graphml,1,31,True,274,0,0.0017081999685615301,253
astar,2462.94548704901,42,new_brunswick_new_jersey_usa_drive.graphml,1,31,True,77,0,0.0004789000377058983,73
dijkstra,2462.94548704901,214,new_brunswick_new_jersey_usa_drive.graphml,1,31,True,274,1,0.001657599932514131,253
astar,2462.94548704901,42,new_brunswick_new_jersey_usa_drive.graphml,1,31,True,77,1,0.0004678000696003437,73
dijkstra,2462.94548704901,214,new_brunswick_new_jersey_usa_drive.graphml,1,31,True,274,2,0.001653399900533259,253
astar,2462.94548704901,42,new_brunswick_new_jersey_usa_drive.graphml,1,31,True,77,2,0.0004675000673159957,73
dijkstra,3165.9051800319207,447,new_brunswick_new_jersey_usa_drive.graphml,2,34,True,558,0,0.00498710002284497,485
astar,3165.9051800319207,133,new_brunswick_new_jersey_usa_drive.graphml,2,34,True,193,0,0.001625700038857758,168
dijkstra,3165.9051800319207,447,new_brunswick_new_jersey_usa_drive.graphml,2,34,True,558,1,0.0036923999432474375,485
astar,3165.9051800319207,133,new_brunswick_new_jersey_usa_drive.graphml,2,34,True,193,1,0.0013303000014275312,168
dijkstra,3165.9051800319207,447,new_brunswick_new_jersey_usa_drive.graphml,2,34,True,558,2,0.003647000063210726,485
astar,3165.9051800319207,133,new_brunswick_new_jersey_usa_drive.graphml,2,34,True,193,2,0.0013306000037118793,168
dijkstra,5606.2584830740925,695,new_brunswick_new_jersey_usa_drive.graphml,3,51,True,848,0,0.006541399983689189,703
astar,5606.2584830740925,354,new_brunswick_new_jersey_usa_drive.graphml,3,51,True,491,0,0.003775999997742474,398
dijkstra,5606.2584830740925,695,new_brunswick_new_jersey_usa_drive.graphml,3,51,True,848,1,0.005519900005310774,703
astar,5606.2584830740925,354,new_brunswick_new_jersey_usa_drive.graphml,3,51,True,491,1,0.0050623000133782625,398
dijkstra,5606.2584830740925,695,new_brunswick_new_jersey_usa_drive.graphml,3,51,True,848,2,0.006688300054520369,703
astar,5606.2584830740925,354,new_brunswick_new_jersey_usa_drive.graphml,3,51,True,491,2,0.004443200072273612,398
dijkstra,3318.535064396613,353,new_brunswick_new_jersey_usa_drive.graphml,4,31,True,453,0,0.003958399989642203,399
astar,3318.535064396613,108,new_brunswick_new_jersey_usa_drive.graphml,4,31,True,165,0,0.0013492000289261341,140
dijkstra,3318.535064396613,353,new_brunswick_new_jersey_usa_drive.graphml,4,31,True,453,1,0.003316099988296628,399
astar,3318.535064396613,108,new_brunswick_new_jersey_usa_drive.graphml,4,31,True,165,1,0.0012507999781519175,140
dijkstra,3318.535064396613,353,new_brunswick_new_jersey_usa_drive.graphml,4,31,True,453,2,0.0032019999343901873,399
astar,3318.535064396613,108,new_brunswick_new_jersey_usa_drive.graphml,4,31,True,165,2,0.0012407000176608562,140
dijkstra,1101.028505326353,153,new_brunswick_new_jersey_usa_drive.graphml,5,15,True,230,0,0.001463599968701601,184
astar,1101.028505326353,49,new_brunswick_new_jersey_usa_drive.graphml,5,15,True,77,0,0.0007987000280991197,67
dijkstra,1101.028505326353,153,new_brunswick_new_jersey_usa_drive.graphml,5,15,True,230,1,0.001964300055988133,184
astar,1101.028505326353,49,new_brunswick_new_jersey_usa_drive.graphml,5,15,True,77,1,0.0006015999242663383,67
dijkstra,1101.028505326353,153,new_brunswick_new_jersey_usa_drive.graphml,5,15,True,230,2,0.0014973999932408333,184
astar,1101.028505326353,49,new_brunswick_new_jersey_usa_drive.graphml,5,15,True,77,2,0.0006832999642938375,67
dijkstra,3639.811260736153,680,new_brunswick_new_jersey_usa_drive.graphml,6,42,True,837,0,0.00699330004863441,687
astar,3639.811260736153,248,new_brunswick_new_jersey_usa_drive.graphml,6,42,True,373,0,0.0033718000631779432,298
dijkstra,3639.811260736153,680,new_brunswick_new_jersey_usa_drive.graphml,6,42,True,837,1,0.006555700092576444,687
astar,3639.811260736153,248,new_brunswick_new_jersey_usa_drive.graphml,6,42,True,373,1,0.0031232000328600407,298
dijkstra,3639.811260736153,680,new_brunswick_new_jersey_usa_drive.graphml,6,42,True,837,2,0.006032099947333336,687
astar,3639.811260736153,248,new_brunswick_new_jersey_usa_drive.graphml,6,42,True,373,2,0.005455499980598688,298
dijkstra,2539.800651451155,373,new_brunswick_new_jersey_usa_drive.graphml,7,19,True,470,0,0.003706199931912124,404
astar,2539.800651451155,67,new_brunswick_new_jersey_usa_drive.graphml,7,19,True,107,0,0.0008773999288678169,94
dijkstra,2539.800651451155,373,new_brunswick_new_jersey_usa_drive.graphml,7,19,True,470,1,0.003710900084115565,404
astar,2539.800651451155,67,new_brunswick_new_jersey_usa_drive.graphml,7,19,True,107,1,0.0008593000238761306,94
dijkstra,2539.800651451155,373,new_brunswick_new_jersey_usa_drive.graphml,7,19,True,470,2,0.003832499962300062,404
astar,2539.800651451155,67,new_brunswick_new_jersey_usa_drive.graphml,7,19,True,107,2,0.0008638999424874783,94
dijkstra,3783.2609616928935,470,new_brunswick_new_jersey_usa_drive.graphml,8,22,True,580,0,0.0041334000416100025,495
astar,3783.2609616928935,98,new_brunswick_new_jersey_usa_drive.graphml,8,22,True,143,0,0.0011075999354943633,128
dijkstra,3783.2609616928935,470,new_brunswick_new_jersey_usa_drive.graphml,8,22,True,580,1,0.003854400012642145,495
astar,3783.2609616928935,98,new_brunswick_new_jersey_usa_drive.graphml,8,22,True,143,1,0.0010226999875158072,128
dijkstra,3783.2609616928935,470,new_brunswick_new_jersey_usa_drive.graphml,8,22,True,580,2,0.004953900002874434,495
astar,3783.2609616928935,98,new_brunswick_new_jersey_usa_drive.graphml,8,22,True,143,2,0.001217000070028007,128
dijkstra,3917.579792537433,680,new_brunswick_new_jersey_usa_drive.graphml,9,33,True,828,0,0.007084300043061376,693
astar,3917.579792537433,206,new_brunswick_new_jersey_usa_drive.graphml,9,33,True,280,0,0.0038328999653458595,240
dijkstra,3917.579792537433,680,new_brunswick_new_jersey_usa_drive.graphml,9,33,True,828,1,0.006171799963340163,693
astar,3917.579792537433,206,new_brunswick_new_jersey_usa_drive.graphml,9,33,True,280,1,0.003076799912378192,240
dijkstra,3917.579792537433,680,new_brunswick_new_jersey_usa_drive.graphml,9,33,True,828,2,0.008682599989697337,693
astar,3917.579792537433,206,new_brunswick_new_jersey_usa_drive.graphml,9,33,True,280,2,0.002679599914699793,240
dijkstra,1478.0345545235152,387,new_brunswick_new_jersey_usa_drive.graphml,10,15,True,531,0,0.003852900001220405,434
astar,1478.0345545235152,38,new_brunswick_new_jersey_usa_drive.graphml,10,15,True,78,0,0.0005433999467641115,67
dijkstra,1478.0345545235152,387,new_brunswick_new_jersey_usa_drive.graphml,10,15,True,531,1,0.0042443000711500645,434
astar,1478.0345545235152,38,new_brunswick_new_jersey_usa_drive.graphml,10,15,True,78,1,0.0005718000466004014,67
dijkstra,1478.0345545235152,387,new_brunswick_new_jersey_usa_drive.graphml,10,15,True,531,2,0.0038138999370858073,434
astar,1478.0345545235152,38,new_brunswick_new_jersey_usa_drive.graphml,10,15,True,78,2,0.0005317999748513103,67
dijkstra,2358.9949174421663,539,new_brunswick_new_jersey_usa_drive.graphml,11,28,True,730,0,0.00508200004696846,562
astar,2358.9949174421663,99,new_brunswick_new_jersey_usa_drive.graphml,11,28,True,155,0,0.001227600034326315,129
dijkstra,2358.9949174421663,539,new_brunswick_new_jersey_usa_drive.graphml,11,28,True,730,1,0.0071443000342696905,562
astar,2358.9949174421663,99,new_brunswick_new_jersey_usa_drive.graphml,11,28,True,155,1,0.0012830999912694097,129
dijkstra,2358.9949174421663,539,new_brunswick_new_jersey_usa_drive.graphml,11,28,True,730,2,0.005675900029018521,562
astar,2358.9949174421663,99,new_brunswick_new_jersey_usa_drive.graphml,11,28,True,155,2,0.0013125999830663204,129
dijkstra,2410.0224617906424,597,new_brunswick_new_jersey_usa_drive.graphml,12,27,True,727,0,0.006582300062291324,612
astar,2410.0224617906424,139,new_brunswick_new_jersey_usa_drive.graphml,12,27,True,237,0,0.0018851999193429947,187
dijkstra,2410.0224617906424,597,new_brunswick_new_jersey_usa_drive.graphml,12,27,True,727,1,0.007487099966965616,612
astar,2410.0224617906424,139,new_brunswick_new_jersey_usa_drive.graphml,12,27,True,237,1,0.0022603999823331833,187
dijkstra,2410.0224617906424,597,new_brunswick_new_jersey_usa_drive.graphml,12,27,True,727,2,0.007104499964043498,612
astar,2410.0224617906424,139,new_brunswick_new_jersey_usa_drive.graphml,12,27,True,237,2,0.0019335999386385083,187
dijkstra,1268.133293606978,34,new_brunswick_new_jersey_usa_drive.graphml,13,9,True,46,0,0.0003040999872609973,43
astar,1268.133293606978,14,new_brunswick_new_jersey_usa_drive.graphml,13,9,True,20,0,0.00014050002209842205,21
dijkstra,1268.133293606978,34,new_brunswick_new_jersey_usa_drive.graphml,13,9,True,46,1,0.00028030003886669874,43
astar,1268.133293606978,14,new_brunswick_new_jersey_usa_drive.graphml,13,9,True,20,1,0.0001357999863103032,21
dijkstra,1268.133293606978,34,new_brunswick_new_jersey_usa_drive.graphml,13,9,True,46,2,0.0002704999642446637,43
astar,1268.133293606978,14,new_brunswick_new_jersey_usa_drive.graphml,13,9,True,20,2,0.00013569998554885387,21
dijkstra,2756.7007105643083,512,new_brunswick_new_jersey_usa_drive.graphml,14,32,True,686,0,0.004870800068601966,537
astar,2756.7007105643083,157,new_brunswick_new_jersey_usa_drive.graphml,14,32,True,224,0,0.002570499898865819,188
dijkstra,2756.7007105643083,512,new_brunswick_new_jersey_usa_drive.graphml,14,32,True,686,1,0.0066899999510496855,537
astar,2756.7007105643083,157,new_brunswick_new_jersey_usa_drive.graphml,14,32,True,224,1,0.001949800061993301,188
dijkstra,2756.7007105643083,512,new_brunswick_new_jersey_usa_drive.graphml,14,32,True,686,2,0.007116900058463216,537
astar,2756.7007105643083,157,new_brunswick_new_jersey_usa_drive.graphml,14,32,True,224,2,0.003813000046648085,188
dijkstra,827.2770218470085,125,new_brunswick_new_jersey_usa_drive.graphml,15,9,True,192,0,0.0012736000353470445,160
astar,827.2770218470085,19,new_brunswick_new_jersey_usa_drive.graphml,15,9,True,32,0,0.00024510000366717577,31
dijkstra,827.2770218470085,125,new_brunswick_new_jersey_usa_drive.graphml,15,9,True,192,1,0.0011051999172195792,160
astar,827.2770218470085,19,new_brunswick_new_jersey_usa_drive.graphml,15,9,True,32,1,0.00020109990146011114,31
dijkstra,827.2770218470085,125,new_brunswick_new_jersey_usa_drive.graphml,15,9,True,192,2,0.0012144000502303243,160
astar,827.2770218470085,19,new_brunswick_new_jersey_usa_drive.graphml,15,9,True,32,2,0.0002239999594166875,31
dijkstra,1741.493443616271,320,new_brunswick_new_jersey_usa_drive.graphml,16,18,True,441,0,0.0041105999844148755,370
astar,1741.493443616271,75,new_brunswick_new_jersey_usa_drive.graphml,16,18,True,98,0,0.001819700002670288,83
dijkstra,1741.493443616271,320,new_brunswick_new_jersey_usa_drive.graphml,16,18,True,441,1,0.00664360006339848,370
astar,1741.493443616271,75,new_brunswick_new_jersey_usa_drive.graphml,16,18,True,98,1,0.0015702000819146633,83
dijkstra,1741.493443616271,320,new_brunswick_new_jersey_usa_drive.graphml,16,18,True,441,2,0.003643200034275651,370
astar,1741.493443616271,75,new_brunswick_new_jersey_usa_drive.graphml,16,18,True,98,2,0.0010173000628128648,83
dijkstra,3920.0950791772925,747,new_brunswick_new_jersey_usa_drive.graphml,17,27,True,916,0,0.013661200064234436,751
astar,3920.0950791772925,288,new_brunswick_new_jersey_usa_drive.graphml,17,27,True,382,0,0.004576900042593479,327
dijkstra,3920.0950791772925,747,new_brunswick_new_jersey_usa_drive.graphml,17,27,True,916,1,0.009403600008226931,751
astar,3920.0950791772925,288,new_brunswick_new_jersey_usa_drive.graphml,17,27,True,382,1,0.0037770000053569674,327
dijkstra,3920.0950791772925,747,new_brunswick_new_jersey_usa_drive.graphml,17,27,True,916,2,0.008086399990133941,751
astar,3920.0950791772925,288,new_brunswick_new_jersey_usa_drive.graphml,17,27,True,382,2,0.003707400057464838,327
dijkstra,6046.830264055449,746,new_brunswick_new_jersey_usa_drive.graphml,18,48,True,889,0,0.006930500036105514,751
astar,6046.830264055449,386,new_brunswick_new_jersey_usa_drive.graphml,18,48,True,512,0,0.006145299994386733,421
dijkstra,6046.830264055449,746,new_brunswick_new_jersey_usa_drive.graphml,18,48,True,889,1,0.006787299993447959,751
astar,6046.830264055449,386,new_brunswick_new_jersey_usa_drive.graphml,18,48,True,512,1,0.005965900025330484,421
dijkstra,6046.830264055449,746,new_brunswick_new_jersey_usa_drive.graphml,18,48,True,889,2,0.010199800017289817,751
astar,6046.830264055449,386,new_brunswick_new_jersey_usa_drive.graphml,18,48,True,512,2,0.007523800013586879,421
dijkstra,2078.623888699245,251,new_brunswick_new_jersey_usa_drive.graphml,19,18,True,320,0,0.002458499977365136,278
astar,2078.623888699245,112,new_brunswick_new_jersey_usa_drive.graphml,19,18,True,167,0,0.0013291999930515885,137
dijkstra,2078.623888699245,251,new_brunswick_new_jersey_usa_drive.graphml,19,18,True,320,1,0.002380699967034161,278
astar,2078.623888699245,112,new_brunswick_new_jersey_usa_drive.graphml,19,18,True,167,1,0.0013476000167429447,137
